Condition","ParticipantID","Test"," "Task Start Time","Task End Time","Delta Time"
Veridical","1","T1","11:14:20:292","11:14:46:808","00:00:26.5163855"
Veridical","1","T1","11:14:50:617","11:15:16:295","00:00:25.6783695"
Veridical","1","T1","11:15:19:132","11:15:35:214","00:00:16.0811152"
Veridical","1","T1","11:15:38:340","11:15:49:070","00:00:10.7302138"
Veridical","1","T1","11:15:51:087","11:16:02:406","00:00:11.3190705"
Veridical","1","T1","11:16:03:709","11:16:15:254","00:00:11.5448859"
Veridical","1","T1","11:16:20:845","11:16:33:719","00:00:12.8732793"
Veridical","1","T1","11:16:36:844","11:16:58:041","00:00:21.1965036"
Veridical","1","T1","11:17:00:599","11:17:14:889","00:00:14.2897747"
Veridical","1","T1","11:17:17:911","11:17:30:377","00:00:12.4665625"
Veridical","1","T1","11:17:32:063","11:17:47:265","00:00:15.2019599"
Veridical","1","T1","11:17:51:380","11:18:06:892","00:00:15.5124430"
Veridical","1","T1","11:18:10:644","11:18:26:880","00:00:16.2361666"
Veridical","1","T1","11:18:29:465","11:18:43:243","00:00:13.7779637"
Veridical","1","T1","11:18:44:710","11:19:03:088","00:00:18.3778049"
Veridical","1","T1","11:19:05:469","11:19:18:095","00:00:12.6264038"
