"Condition""",ParticipantID,Test," ""Time Stamp",V_Local(cm3),V_Remote(cm3),V_Union(cm3),V_Intersection(cm3),Intersection (%)
"Approach""",3,T3,12:24:44:277,179.4069,383.498,41.56914,23.2,
"Approach""",3,T3,12:26:15:063,22.80791,14.83345,6.510533,28.5,
"Approach""",3,T3,12:26:41:850,11.34238,9.333282,3.514777,31.0,
"Approach""",3,T3,12:27:16:300,30.22903,20.49903,2.925303,9.7,
"Approach""",3,T3,12:27:52:685,689.1917,3.833635,2.689659,0.4,
"Approach""",3,T3,12:28:38:819,13.30799,20.33337,1.229924,9.2,
"Approach""",3,T3,12:28:55:786,31.84846,7.666955,0,0.0,
"Approach""",3,T3,12:29:12:306,16.85173,35.33377,8.432959,50.0,
"Approach""",3,T3,12:29:39:736,1844.264,37.33391,23.99286,1.3,
"Approach""",3,T3,12:30:05:759,48.6163,76.50009,40.18315,82.7,
"Approach""",3,T3,12:30:32:481,34.86394,28.00028,0,0.0,
"Approach""",3,T3,12:31:06:440,79.01959,51.6671,12.14115,15.4,
"Approach""",3,T3,12:31:34:772,7.231491,101.1688,11.5061,159.1,
"Approach""",3,T3,12:31:55:878,105.8218,163.3291,63.8949,60.4,
"Approach""",3,T3,12:32:17:538,47.32329,59.99898,24.59042,52.0,
